createDt, deathCnt , defCnt ,gubunEn, incDec , isolClearCnt , isolIngCnt , localOccCnt , overFlowCnt ,qurRate,seq
2020-12-28, 2 ," 2,415 ",Lazaretto, 8 ," 1,679 ", 734 , - , 8 ,-,6676
2020-12-28, - , 392 ,Jeju, 11 , 158 , 234 , 11 , - ,58.44,6675
2020-12-28, 4 ," 1,251 ",Gyeongsangnam-do, 25 , 892 , 355 , 25 , - ,37.22,6674
2020-12-28, 61 ," 2,350 ",Gyeongsangbuk-do, 46 ," 1,800 ", 489 , 45 , 1 ,88.26,6673
2020-12-28, 5 , 550 ,Jeollanam-do, 7 , 460 , 85 , 7 , - ,29.5,6672
2020-12-28, 8 , 785 ,Jeollabuk-do, 1 , 540 , 237 , 1 , - ,43.2,6671
2020-12-28, 22 ," 1,581 ",Chungcheongnam-do, 35 ," 1,109 ", 450 , 35 , - ,74.49,6670
2020-12-28, 20 ," 1,074 ",Chungcheongbuk-do, 31 , 548 , 506 , 30 , 1 ,67.15,6669
2020-12-28, 13 ," 1,133 ",Gangwon-do, 27 , 781 , 339 , 27 , - ,73.55,6668
2020-12-28, 221 ," 13,693 ",Gyeonggi-do, 193 ," 9,463 "," 4,009 ", 188 , 5 ,103.34,6667
2020-12-28, - , 143 ,Sejong, 2 , 126 , 17 , 2 , - ,41.77,6666
2020-12-28, 26 , 618 ,Ulsan, 2 , 380 , 212 , 1 , 1 ,53.88,6665
2020-12-28, 7 , 789 ,Daejeon, 3 , 651 , 131 , 3 , - ,53.52,6664
2020-12-28, 6 ," 1,049 ",Gwangju, 12 , 810 , 233 , 12 , - ,72.01,6663
2020-12-28, 24 ," 2,700 ",Incheon, 46 ," 1,831 ", 845 , 45 , 1 ,91.34,6662
2020-12-28, 201 ," 7,688 ",Daegu, 24 ," 7,191 ", 296 , 24 , - ,315.54,6661
2020-12-28, 40 ," 1,738 ",Busan, 34 ," 1,238 ", 460 , 34 , - ,50.94,6660
2020-12-28, 159 ," 17,731 ",Seoul, 301 ," 9,611 "," 7,961 ", 297 , 4 ,182.16,6659
2020-12-28, 819 ," 57,680 ",Total, 808 ," 39,268 "," 17,593 ", 787 , 21 ,111.25,6658
2020-12-27, 2 ," 2,407 ",Lazaretto, 10 ," 1,679 ", 726 , - , 10 ,-,6657
2020-12-27, - , 381 ,Jeju, 7 , 148 , 233 , 7 , - ,56.8,6656
2020-12-27, 4 ," 1,226 ",Gyeongsangnam-do, 44 , 869 , 353 , 44 , - ,36.47,6655
2020-12-27, 61 ," 2,304 ",Gyeongsangbuk-do, 34 ," 1,790 ", 453 , 32 , 2 ,86.53,6654
2020-12-27, 5 , 543 ,Jeollanam-do, 5 , 456 , 82 , 5 , - ,29.12,6653
