confCase,confCaseRate,createDt,criticalRate,death,deathRate,gubun,seq
1927,3.39,2020-12-27,0,0,0,0s,5697
3544,6.23,2020-12-27,0,0,0,10s,5696
9281,16.32,2020-12-27,0,0,0,20s,5695
7226,12.71,2020-12-27,0.04,3,0.37,30s,5694
8033,14.12,2020-12-27,0.09,7,0.87,40s,5693
10648,18.72,2020-12-27,0.28,30,3.71,50s,5692
8939,15.72,2020-12-27,1.05,94,11.63,60s,5691
4472,7.86,2020-12-27,5.28,236,29.21,70s,5690
2802,4.93,2020-12-27,15.63,438,54.21,80 over,5689
29301,51.52,2020-12-27,1.35,397,49.13,female,5688
27571,48.48,2020-12-27,1.49,411,50.87,male,5687
1891,3.38,2020-12-26,0,0,0,0s,5675
3483,6.23,2020-12-26,0,0,0,10s,5674
9170,16.4,2020-12-26,0,0,0,20s,5673
7095,12.69,2020-12-26,0.04,3,0.38,30s,5672
7874,14.09,2020-12-26,0.09,7,0.88,40s,5671
10457,18.71,2020-12-26,0.29,30,3.78,50s,5670
8760,15.67,2020-12-26,1.05,92,11.6,60s,5669
4411,7.89,2020-12-26,5.3,234,29.51,70s,5668
2761,4.94,2020-12-26,15.47,427,53.85,80 over,5667
28802,51.52,2020-12-26,1.35,389,49.05,female,5666
27100,48.48,2020-12-26,1.49,404,50.95,male,5665
1844,3.37,2020-12-25,0,0,0,0s,5653
3403,6.21,2020-12-25,0,0,0,10s,5652
9042,16.51,2020-12-25,0,0,0,20s,5651
6948,12.69,2020-12-25,0.04,3,0.39,30s,5650
7695,14.05,2020-12-25,0.09,7,0.91,40s,5649
10248,18.71,2020-12-25,0.29,30,3.88,50s,5648
8589,15.68,2020-12-25,1.05,90,11.64,60s,5647
4321,7.89,2020-12-25,5.25,227,29.37,70s,5646
2680,4.89,2020-12-25,15.52,416,53.82,80 over,5645
28235,51.55,2020-12-25,1.36,383,49.55,female,5644
26535,48.45,2020-12-25,1.47,390,50.45,male,5643
1797,3.36,2020-12-24,0,0,0,0s,5631
3337,6.23,2020-12-24,0,0,0,10s,5630
8886,16.6,2020-12-24,0,0,0,20s,5629
6778,12.66,2020-12-24,0.04,3,0.4,30s,5628
7499,14.01,2020-12-24,0.08,6,0.79,40s,5627
10010,18.7,2020-12-24,0.29,29,3.84,50s,5626
8375,15.64,2020-12-24,1.07,90,11.9,60s,5625
4235,7.91,2020-12-24,5.29,224,29.63,70s,5624
2616,4.89,2020-12-24,15.44,404,53.44,80 over,5623
27768,51.87,2020-12-24,1.35,376,49.74,female,5622
25765,48.13,2020-12-24,1.47,380,50.26,male,5621
1715,3.33,2020-12-22,0,0,0,0s,5587
3206,6.23,2020-12-22,0,0,0,10s,5586
8657,16.82,2020-12-22,0,0,0,20s,5585
6518,12.67,2020-12-22,0.06,4,0.55,30s,5584
7223,14.04,2020-12-22,0.08,6,0.83,40s,5583
9582,18.62,2020-12-22,0.3,29,4.02,50s,5582
8015,15.58,2020-12-22,1.1,88,12.19,60s,5581
4065,7.9,2020-12-22,5.19,211,29.22,70s,5580
2479,4.82,2020-12-22,15.49,384,53.19,80 over,5579
26708,51.9,2020-12-22,1.34,357,49.45,female,5578
24752,48.1,2020-12-22,1.47,365,50.55,male,5577
1684,3.33,2020-12-21,0,0,0,0s,5565
3150,6.23,2020-12-21,0,0,0,10s,5564
